objid,pid1,photoZ1,photoZ_err1,schlegelZ1,schlegelZ_err1,absMagR1,u1,g1,r1,i1,z1,pid2,photoZ2,photoZ_err2,schlegelZ2,schlegelZ_err2,absMagR2,u2,g2,r2,i2,z2
1237663238740378348,1237663238740378349,0.418523,0.095012,null,null,-20.5534,22.19206,21.41457,19.76423,19.14051,18.73446,1237663238740378349,0.418523,0.095012,null,null,-20.5534,22.19206,21.41457,19.76423,19.14051,18.73446
1237663238740771265,1237663238740771265,0.536844,0.035547,null,null,-21.9974,24.77744,24.48377,21.64386,20.50485,19.99736,1237663238740771265,0.536844,0.035547,null,null,-21.9974,24.77744,24.48377,21.64386,20.50485,19.99736
1237663238740772057,1237663238740772057,0.648313,0.06501,null,null,-22.1533,25.14365,23.11616,21.99026,20.73605,20.36332,1237663238740772065,-9999,-9999,null,null,-18.8929,25.14365,23.11616,21.99026,20.73605,20.36332
1237663238740968123,1237663238740968123,0.642454,0.124833,null,null,-22.0648,26.53807,22.72385,21.9374,21.10022,20.4262,1237663238740968123,0.642454,0.124833,null,null,-22.0648,26.53807,22.72385,21.9374,21.10022,20.4262
1237663238741296230,1237663238741295844,0.36101,0.09442,null,null,-19.1562,24.36122,23.50148,22.25623,21.26111,21.37667,1237663238741295844,0.36101,0.09442,null,null,-19.1562,24.36122,23.50148,22.25623,21.26111,21.37667
1237663238741950610,1237663238741950610,0.090632,0.023703,0.04045511,9.817722E-06,-21.3805,19.71966,18.19417,17.34514,16.8484,16.47481,1237663238741950610,0.090632,0.023703,0.04045511,9.817722E-06,-21.3805,19.71966,18.19417,17.34514,16.8484,16.47481
1237663239269384554,1237663239269384554,0.060285,0.026719,0.02413198,1.342811E-05,-18.9919,19.85378,18.68247,18.29063,18.07677,17.95594,1237663239269384554,0.060285,0.026719,0.02413198,1.342811E-05,-18.9919,19.85378,18.68247,18.29063,18.07677,17.95594
1237663239269384852,1237663239269384852,0.336803,0.069046,null,null,-21.421,22.26182,21.19594,19.8418,19.32376,18.97619,1237663239269384852,0.336803,0.069046,null,null,-21.421,22.26182,21.19594,19.8418,19.32376,18.97619
1237663239271612743,1237663239271612743,0.388262,0.072136,null,null,-20.3935,23.08508,22.42249,20.88217,20.82288,20.63413,1237663239271612743,0.388262,0.072136,null,null,-20.3935,23.08508,22.42249,20.88217,20.82288,20.63413
1237663239272137216,1237663239272137216,0.362384,0.080694,null,null,-20.8458,23.15931,22.21774,20.71119,20.21571,19.87481,1237663239272137216,0.362384,0.080694,null,null,-20.8458,23.15931,22.21774,20.71119,20.21571,19.87481
