objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237654881812938874,219.935253726036,5.35333174774192,NO_PEAK,"[]",DOUBLE,"[(50, 50)(40, 41)]",DOUBLE,"[(50, 50)(41, 57)]",DOUBLE,"[(50, 49)(41, 43)]"
1237662266996949376,220.114188673674,5.69482848483452,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(49, 50)]",DOUBLE,"[(50, 50)(58, 51)]"
1237654881812873246,219.785358233304,5.35340491607161,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 49)(93, 87)]",NO_PEAK,"[]"
1237654881812742305,219.474469012442,5.37182595556842,NO_PEAK,"[]",DOUBLE,"[(50, 49)(60, 59)]",DOUBLE,"[(50, 50)(59, 60)]",DOUBLE,"[(50, 50)(60, 59)]"
1237654881275871408,219.496780892888,4.95349693901315,SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(54, 59)]",DOUBLE,"[(50, 50)(54, 59)]",DOUBLE,"[(50, 50)(55, 59)]"
1237654881812807744,219.728500682514,5.35468910570895,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 49)]",DOUBLE,"[(50, 50)(77, 43)]"
1237655742405869676,219.461037075859,5.01126351920686,NO_PEAK,"[]",DOUBLE,"[(50, 50)(65, 49)]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 50)]"
1237662266996818129,219.821687376312,5.63881025262858,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(68, 48)(50, 50)]"
1237655743479742663,219.809638034834,5.86482880004016,SINGLE,"[(51, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(53, 37)]"
1237662267533688844,219.792776299748,5.99939669182531,NO_PEAK,"[]",SINGLE,"[(17, 48)]",DOUBLE,"[(16, 47)(23, 41)]",DOUBLE,"[(17, 48)(23, 42)]"
1237662266459619770,218.969844632814,5.31266848830791,NO_PEAK,"[]",SINGLE,"[(49, 49)]",DOUBLE,"[(50, 51)(60, 51)]",NO_PEAK,"[]"
1237662266459619565,218.989880340344,5.30845486642663,NO_PEAK,"[]",DOUBLE,"[(50, 50)(46, 29)]",DOUBLE,"[(50, 50)(46, 30)]",DOUBLE,"[(50, 50)(46, 30)]"
1237662266459619815,219.028497667725,5.26023446339874,DOUBLE,"[(47, 38)(50, 33)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662266996490494,219.07914710151,5.61072888173414,NO_PEAK,"[]",DOUBLE,"[(50, 50)(55, 36)]",DOUBLE,"[(50, 50)(54, 36)]",DOUBLE,"[(50, 50)(54, 36)]"
1237662266996621595,219.36482989691,5.63365488180476,SINGLE,"[(61, 76)]",NO_PEAK,"[]",SINGLE,"[(50, 49)]",DOUBLE,"[(50, 50)(58, 42)]"
1237662267533558105,219.475058840189,6.03939610040364,NO_PEAK,"[]",SINGLE,"[(35, 36)]",SINGLE,"[(42, 20)]",DOUBLE,"[(42, 20)(36, 14)]"
1237662266996555898,219.266986485026,5.7331336317567,SINGLE,"[(15, 22)]",SINGLE,"[(1, 25)]",DOUBLE,"[(6, 27)(11, 29)]",DOUBLE,"[(1, 25)(1, 19)]"
1237661949172777121,166.191655398379,11.354731838766,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(39, 43)]",DOUBLE,"[(50, 50)(39, 43)]"
1237661949709582411,166.110346504413,11.7563394046975,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 49)(23, 72)]",NO_PEAK,"[]"
1237661949172449355,165.542465170017,11.2270483679951,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 68)(50, 50)]"
1237661812266565710,165.618313498462,11.4955335374251,SINGLE,"[(23, 28)]",DOUBLE,"[(50, 50)(42, 46)]",DOUBLE,"[(50, 50)(42, 46)]",DOUBLE,"[(42, 47)(51, 50)]"
1237661812803240221,165.231860037672,11.7947379880532,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(50, 67)]",DOUBLE,"[(50, 49)(45, 70)]"
1237661949172449402,165.495986078013,11.3475002796652,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(33, 55)(50, 50)]",DOUBLE,"[(50, 50)(33, 55)]"
1237661812803305618,165.369197918716,11.8895144982256,NO_PEAK,"[]",DOUBLE,"[(77, 57)(50, 50)]",DOUBLE,"[(77, 57)(50, 50)]",DOUBLE,"[(76, 58)(49, 50)]"
1237661812803371025,165.391078541307,11.8873103547637,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(54, 70)]"
