index,objid,ra,dec
8937,1237657190368478140,0.253998887259797,-0.572118752507864
8939,1237657190368477914,0.254030092943992,-0.575043109299508
8949,1237657190368477502,0.254267511832268,-0.556819006114719
8960,1237657190368477501,0.254427278473713,-0.557892088313299
8977,1237657190368477915,0.254872220278742,-0.566608549596769
9091,1237657191979025138,0.203467041037527,0.760000797646622
9118,1237657191979025141,0.204106159234527,0.77381926525873
9188,1237663278464762889,0.300792411484935,0.997040763064343
9274,1237663784197489777,0.231873683681659,0.133118420997418
9278,1237663277927892053,0.231913777979571,0.629194833833057
9299,1237663275780408058,0.232390705487433,-1.09229316602244
9338,1237663275780408057,0.23322000525954,-1.09230003422796
9553,1237663784197489425,0.286411098270136,0.0997922075372846
9614,1237657189831607062,0.318607780153002,-0.908731004697974
9621,1237663278464697390,0.157369520173148,1.020031021206
9734,1237657189831541744,0.21947033837148,-0.923148098127273
9828,1237657189831606975,0.281961651848007,-1.04165517022097
9851,1237663784197489388,0.282309077748335,0.191148449278512
9930,1237657190368477975,0.284055971960527,-0.605443174028546
9950,1237663783660683673,0.32198320600757,-0.364761511491011
9964,1237663278464762925,0.32232235266352,0.866805593723027
9985,1237657191979090557,0.322830070714872,0.770889719210272
10028,1237663275780342463,0.206629786487269,-1.07436872758633
10050,1237657191979025157,0.207021909256071,0.754978482830206
10058,1237657189831541376,0.207260274612906,-0.920159823475136
10085,1237657189831541374,0.207774947368648,-0.919733992794702
10093,1237663783123747281,0.208068077833842,-0.735509136579138
10106,1237657190905349108,0.308225088348195,-0.0269663572795221
10147,1237657190368478189,0.309118761654247,-0.530688824084428
10183,1237663278464762850,0.279864868047213,0.892691412814336
10262,1237663783660618356,0.281471929027495,-0.419222790026361
10279,1237663783660618355,0.281911578332524,-0.418474719636108
10547,1237657190368412545,0.190872850229539,-0.434726454444136
10594,1237657190368477646,0.306219929617384,-0.532230758820507
10618,1237657189831607031,0.306828335587625,-0.911700090803681
10684,1237663278464762594,0.331697497837723,0.852814376676238
10734,1237657192515896060,0.150609262133912,1.14583047353901
10760,1237657190368477940,0.267849169605199,-0.593920926577527
10803,1237657190368477553,0.268806532874123,-0.595806191063424
10832,1237663784197489352,0.269415869250034,0.19531351448243
10924,1237657190905283291,0.128941478344586,-0.148212405956448
11094,1237663783660684132,0.339184406157196,-0.320367588528908
