objid,bands,pid1,pid2
1237650372092625072,g,1237650372092625072,1237650372092625073
1237650371555885831,i,1237650371555885831,1237650371555885833
1237650371555885242,i,1237650371555885242,1237650371555885242
1237650761853960242,i,1237650761853960242,1237650761853960242
1237650761853894810,ri,1237650761853894809,1237650761853894810
1237650762927702122,g,1237650762927702122,1237650762927702126
1237650762390896685,g,1237650762390896685,1237650762390896685
1237650762390896775,ri,1237650762390896775,1237650762390896775
1237655464841249402,i,1237655464841249402,1237655464841249404
1237655370897948948,i,1237655370897948948,1237655370897948951
1237655464841576587,u,1237655464841576587,1237655464841576587
1237655465378513039,g,1237655465378513039,1237655465378513039
1237655465378644061,gr,1237655465378644061,1237655465378644065
1237654608530768011,i,1237654608530768011,1237654608530768014
1237658609831379036,i,1237658609831379037,1237658609831379036
1237655465378775332,ri,1237655465378775332,1237655465378775335
1237658609831706706,gri,1237658609831706706,1237658609831706706
1237655371435147409,r,1237655371435147409,1237655371435147409
1237655448735187098,i,1237655448735187098,1237655448735187098
1237655465378971775,i,1237655465378971775,1237655465378971775
1237658609294639250,gri,1237658609294639250,1237658609294639250
1237655369824731360,gr,1237655369824731360,1237655369824731360
1237655463768883345,ri,1237655463768883345,1237655463768883354
1237658607683633296,ri,1237658607683633296,1237658607683633315
1237655463768948771,r,1237655463768948771,1237655463768948773
1237658607683436665,r,1237658607683436665,1237658607683436665
1237663783134101753,ri,1237663783134101752,1237663783134101754
1237657069546897482,g,1237657069546897482,1237657069546897482
1237663783134036159,ri,1237663783134036164,1237663783134036159
1237678617428230330,gri,1237678617428230330,1237678617428230330
1237663785281847339,gri,1237663785281847339,1237663785281847339
1237657071694577809,i,1237657071694577809,1237657071694577809
1237657072231645357,ugri,1237657072231645357,1237657072231645357
1237657071157772303,i,1237657071157772588,1237657071157772588
1237657071157904050,i,1237657071157904050,1237657071157904050
1237663784208105669,ri,1237663784208105669,1237663784208105669
1237657071157969102,r,1237657071157968987,1237657071157968989
1237663784745566439,r,1237663784745566439,1237663784745566440
1237657069548601711,r,1237657069548601711,1237657069548601711
1237663782598803656,r,1237663782598803655,1237663782598803656
1237666407917618045,i,1237666407917618045,1237666407917618046
1237666209273610504,gri,1237666209273610504,1237666209273610504
1237652933501059263,g,1237652933501059263,1237652933501059264
1237652934037930246,u,1237652934037931241,1237652934037931241
1237652598494527583,i,1237652598494527585,1237652598494527582
1237652934037930358,u,1237652934037930360,1237652934037930361
1237652935111606548,ri,1237652935111606547,1237652935111606548
1237652934037799008,g,1237652934037799008,1237652934037799008
1237652934037733662,g,1237652934037733665,1237652934037733665
1237652599568072985,gri,1237652599568072985,1237652599568072988
1237652934574538964,gri,1237652934574538963,1237652934574538964
1237652935111344523,ri,1237652935111344523,1237652935111344523
1237652935111344191,ri,1237652935111344191,1237652935111344191
1237652599567941865,r,1237652599567941865,1237652599567941867
1237652934037537103,u,1237652934037537101,1237652934037537101
1237652934574342292,ri,1237652934574342292,1237652934574342292
1237671692301697228,i,1237671692301697228,1237671692301697228
1237671691764760919,g,1237671691764760919,1237671691764760919
1237665231596094040,i,1237665231596094040,1237665231596094040
